time,frame_id,force.x,force.y,force.z,torque.x,torque.y,torque.z
22:04:59,robotiq_force_torque_frame_id,4.31,0.12,-1.07,0.063,-0.139,-0.05
22:04:59,robotiq_force_torque_frame_id,2.83,0.06,-1.45,0.068,-0.134,-0.05
22:04:59,robotiq_force_torque_frame_id,3.09,0.58,-0.91,0.065,-0.121,-0.069
22:04:59,robotiq_force_torque_frame_id,2.58,0.94,-1.32,0.073,-0.115,-0.044
22:04:59,robotiq_force_torque_frame_id,2.9,-0.4,-0.77,0.077,-0.122,-0.042
22:04:59,robotiq_force_torque_frame_id,2.94,-0.39,-1.49,0.062,-0.114,-0.017
22:04:59,robotiq_force_torque_frame_id,2.93,-0.6,-1.24,0.068,-0.128,-0.033
22:04:59,robotiq_force_torque_frame_id,4.07,0.8,-1.25,0.063,-0.115,-0.053
22:04:59,robotiq_force_torque_frame_id,3.42,0.2,-0.7,0.071,-0.119,-0.058
22:04:59,robotiq_force_torque_frame_id,3.48,-0.29,-1.01,0.076,-0.126,-0.081
22:05:00,robotiq_force_torque_frame_id,2.39,-1.77,-0.85,0.085,-0.113,-0.065
22:05:00,robotiq_force_torque_frame_id,3.63,-0.61,-1.12,0.074,-0.12,-0.078
22:05:00,robotiq_force_torque_frame_id,2.27,-1.08,-0.75,0.081,-0.103,-0.062
22:05:00,robotiq_force_torque_frame_id,3.44,0.11,-1.23,0.062,-0.118,-0.059
22:05:00,robotiq_force_torque_frame_id,1.84,-0.94,-0.78,0.076,-0.102,-0.041
22:05:00,robotiq_force_torque_frame_id,1.59,-1.51,-1.1,0.061,-0.11,-0.042
22:05:00,robotiq_force_torque_frame_id,1.23,-1.13,-1.17,0.071,-0.11,-0.05
22:05:00,robotiq_force_torque_frame_id,0.89,-1.45,-1.0,0.061,-0.116,-0.06
22:05:00,robotiq_force_torque_frame_id,2.49,-0.29,-1.49,0.074,-0.128,-0.028
22:05:00,robotiq_force_torque_frame_id,1.3,-1.92,-1.29,0.081,-0.117,-0.032
22:05:01,robotiq_force_torque_frame_id,1.68,-1.26,-1.64,0.078,-0.115,-0.036
22:05:01,robotiq_force_torque_frame_id,1.21,-0.45,-0.5,0.07,-0.109,-0.035
22:05:01,robotiq_force_torque_frame_id,2.04,-1.4,-0.98,0.077,-0.111,-0.04
22:05:01,robotiq_force_torque_frame_id,2.26,0.09,-0.77,0.092,-0.101,-0.04
22:05:01,robotiq_force_torque_frame_id,1.79,-0.75,-0.77,0.089,-0.118,-0.029
22:05:01,robotiq_force_torque_frame_id,2.95,-0.29,-0.37,0.063,-0.131,-0.032
22:05:01,robotiq_force_torque_frame_id,1.43,-0.45,-0.69,0.076,-0.112,-0.023
22:05:01,robotiq_force_torque_frame_id,2.53,1.14,-0.07,0.079,-0.128,-0.048
22:05:01,robotiq_force_torque_frame_id,1.58,0.47,-0.82,0.064,-0.11,-0.062
22:05:01,robotiq_force_torque_frame_id,2.25,0.47,-0.54,0.07,-0.109,-0.038
22:05:02,robotiq_force_torque_frame_id,3.36,0.42,-0.76,0.092,-0.116,-0.06
22:05:02,robotiq_force_torque_frame_id,1.63,0.19,-0.75,0.094,-0.117,-0.056
22:05:02,robotiq_force_torque_frame_id,1.39,-0.2,-0.68,0.088,-0.126,-0.054
22:05:02,robotiq_force_torque_frame_id,1.76,0.38,-0.57,0.078,-0.101,-0.042
22:05:02,robotiq_force_torque_frame_id,2.07,-0.56,-0.61,0.074,-0.134,-0.025
22:05:02,robotiq_force_torque_frame_id,2.3,0.2,-0.73,0.071,-0.11,-0.03
22:05:02,robotiq_force_torque_frame_id,2.88,-0.17,-0.6,0.074,-0.107,-0.027
22:05:02,robotiq_force_torque_frame_id,2.66,0.86,-0.63,0.068,-0.123,-0.052
22:05:02,robotiq_force_torque_frame_id,4.38,2.17,-0.11,0.061,-0.143,-0.047
22:05:02,robotiq_force_torque_frame_id,2.54,-0.58,-0.46,0.07,-0.131,-0.064
22:05:03,robotiq_force_torque_frame_id,2.02,0.73,-0.91,0.081,-0.101,-0.033
22:05:03,robotiq_force_torque_frame_id,2.29,-0.88,-0.79,0.055,-0.125,-0.055
22:05:03,robotiq_force_torque_frame_id,2.65,0.77,-0.84,0.084,-0.12,-0.037
22:05:03,robotiq_force_torque_frame_id,3.54,-0.36,-0.79,0.069,-0.123,0.0
22:05:03,robotiq_force_torque_frame_id,2.85,0.95,-1.0,0.079,-0.123,-0.012
22:05:03,robotiq_force_torque_frame_id,3.18,0.29,-0.75,0.071,-0.118,-0.016
22:05:03,robotiq_force_torque_frame_id,2.99,-1.61,-0.98,0.084,-0.115,-0.054
22:05:03,robotiq_force_torque_frame_id,3.17,-0.55,-0.85,0.085,-0.13,-0.002
22:05:03,robotiq_force_torque_frame_id,3.81,-0.38,-1.01,0.083,-0.124,0.0
